course_key,section_number,section_name,duration
1,1,"Introduction to databases, SQL, and MySQL",00h14
1,2,SQL theory,00h21
1,3,Basic database terminology,00h35
1,4,Installing MySQL and getting acquainted with the interface,00h27
1,5,First steps in SQL,00h43
1,6,MySQL constraints,00h36
1,7,SQL best practices,00h10
1,8,Loading the 'employees' database,00h03
1,9,SQL SELECT statement,01h12
1,10,SQL INSERT statement,00h13
1,11,SQL UPDATE statement,00h10
1,12,SQL DELETE statement,00h09
1,13,My SQL - Aggregate functions,00h20
1,14,SQL Joints,01h18
1,15,SQL Subqueries,00h17
1,16,SQL Self join,00h08
1,17,SQL Views,00h07
1,18,Stored routines,00h49
1,19,Advanced SQL Topics,00h45
1,20,Combining SQL and Tableau - Introduction,00h16
1,21,Combining SQL and Tableau - Task 1,00h27
1,22,Combining SQL and Tableau - Task 2,00h14
1,23,Combining SQL and Tableau - Task 3,00h11
1,24,Combining SQL and Tableau - Task 4,00h09
1,25,Combining SQL and Tableau - Task 5,00h06
1,26,Practice SQL - 10 Final Query Questions,00h01
1,27,Bonus Lecture,00h01
2,1,It's super eacy to get Started,00h20
2,2,Tableau Basics: Your First Bar chart,00h51
2,3,"Time series, Aggregation, and Filters",00h47
2,4,"Maps, Scatter plotes, and Your First Dashboard",01h01
2,5,"Joining, Blending and Relationships; PLUS: Dual Axis Charts",01h41
2,6,"Table Calculations, Advanced Dashboards, Storytelling",01h07
2,7,Advanced Data Preparation,00h38
2,8,"Clusters, Custom Territories, Design Features",01h08
2,9,What's new in Tableau,00h55
2,10,Conclusion,00h14
3,1,Getting Started,00h10
3,2,Introducing Microsoft Power BI Desktop,00h23
3,3,Connecting & Shaping Data with Power BI Desktop,02h25
3,4,Creating Table Relationships & Data Models in Power BI,01h36
3,5,Analyzing Data with DAX Calculations in Power BI,03h07
3,6,Visualizing Data with Power BI Reports,02h32
3,7,NEW: Artificial Intelligence (AI) Visuals,00h42
3,8,Bonus Project: Maven Market,00h09
3,9,Wrapping Up,00h02
4,1,"Welcome, Welcome, Welcome!",00h23
4,2,JavaScript Fundamentals - Part 1,04h41
4,3,JavaScript Fundamentals - Part 2,04h33
4,4,How to Navigate This Course,00h04
4,5,Developer Skills & Editor Setup,02h04
4,6,[OPTIONAL] HTML & CSS Crash Course,00h56
4,7,JavaScript in the Browser: DOM and Events Fundamentals,03h54
4,8,How JavaScript Works Behind the Scenes,03h07
4,9,"Data Structures, Modern Operators and Strings",05h34
4,10,A Closer Look at Functions,02h37
4,11,Working With Arrays,06h08
4,12,"Numbers, Dates, Intl and Timers",03h15
4,13,Advanced DOM and Events,05h18
